Date,Time,albert,units,bob,units,cara,units,daniel,units,
2/12/2008,11:39:17,19.47,degrees C,,,,,,,
2/12/2008,11:39:23,19.40,degrees C,,,,,,,
2/12/2008,11:39:24,,,,,-273.0,degrees C,,,
2/12/2008,11:39:29,19.40,degrees C,,,,,,,
2/12/2008,11:39:30,,,,,,,-273.0,degrees C,
2/12/2008,11:39:31,,,,,,,-273.0,degrees C,
2/12/2008,11:39:32,,,,,,,-273.0,degrees C,
2/12/2008,11:39:34,,,,,,,-273.0,degrees C,
2/12/2008,11:39:35,19.40,degrees C,,,,,,,
2/12/2008,11:39:35,,,,,,,-273.0,degrees C,
2/12/2008,11:39:36,,,,,,,-273.0,degrees C,
2/12/2008,11:39:37,,,,,,,-273.0,degrees C,
2/12/2008,11:39:38,,,,,,,-273.0,degrees C,
2/12/2008,11:39:39,,,,,,,-273.0,degrees C,
2/12/2008,11:39:40,19.34,degrees C,,,,,,,
2/12/2008,11:39:41,,,,,,,-273.0,degrees C,
2/12/2008,11:39:42,,,,,,,-273.0,degrees C,
